,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
227,CloudSEK,2015.0,Bangalore,Computer & Network Security,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,Rahul Sasi,MassMutual Ventures,$7000000,Series A,,,,,,,,,
228,Exponent Energy,2020.0,Bangalore,Automotive,Simplifying energy for EVs by building a Flexible Energy Stack.,"Arun Vinayak, Sanjay Byalal",YourNest VC,$5000000,Pre-series A,,,,,,,,,
229,Trinkerr,2021.0,Bangalore,Capital Markets,Trinkerr is India's first social trading platform.,"Manvendra Singh, Gaurav Agarwal",Accel India,$6600000,Series A,,,,,,,,,
230,Zorro,2021.0,Gurugram,Social network,Pseudonymous social network platform,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",$32000000,Seed,,,,,,,,,
231,Ultraviolette,2021.0,Bangalore,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",$150000000,Series C,,,,,,,,,
232,NephroPlus,2009.0,Hyderabad,Hospital & Health Care,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",Vikram Vuppala,IIFL Asset Management,$24000000,Series E,,,,,,,,,
233,Unremot,2020.0,Bangalore,Information Technology & Services,Unremot is a personal office for consultants!,Shiju Radhakrishnan,Inflection Point Ventures,$700000,Seed,,,,,,,,,
234,FanAnywhere,2021.0,Bangalore,Financial Services,Celebrity NFT platform,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",$Undisclosed,Seed,,,,,,,,,
236,Spry,2021.0,Mumbai,Music,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",$1500000,Seed,,,,,,,,,
237,Enmovil,2015.0,Hyderabad,Information Technology & Services,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,$1300000,Pre-series A,,,,,,,,,
238,ASQI Advisors,2019.0,Mumbai,Financial Services,Bringing Blockchain technology intro mainstream finance!,Swapnil Pawar,Founders Room Capital,$1000000,Pre-series A,,,,,,,,,
239,Insurance Samadhan,2018.0,New Delhi,Insurance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",$725000,Pre-series A,,,,,,,,,
241,MasterChow,2020.0,Food & Beverages,Hauz Khas,A ready-to-cook Asian cuisine brand,"Vidur Kataria, Sidhanth Madan",WEH Ventures,$461000,Seed,,,,,,,,,
243,Trinkerr,2021.0,Bangalore,Capital Markets,Trinkerr is India's first social trading platform.,"Manvendra Singh, Gaurav Agarwal",Accel India,$6600000,Series A,,,,,,,,,
244,Zorro,2021.0,Gurugram,Social network,Pseudonymous social network platform,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",$32000000,Seed,,,,,,,,,
245,Ultraviolette,2021.0,Bangalore,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",$150000000,Series C,,,,,,,,,
246,NephroPlus,2009.0,Hyderabad,Hospital & Health Care,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",Vikram Vuppala,IIFL Asset Management,$24000000,Series E,,,,,,,,,
247,Unremot,2020.0,Bangalore,Information Technology & Services,Unremot is a personal office for consultants!,Shiju Radhakrishnan,Inflection Point Ventures,$700000,Seed,,,,,,,,,
248,FanAnywhere,2021.0,Bangalore,Financial Services,Celebrity NFT platform,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",$Undisclosed,Seed,,,,,,,,,
250,Spry,2021.0,Mumbai,Music,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",$1500000,Seed,,,,,,,,,
251,Enmovil,2015.0,Hyderabad,Information Technology & Services,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,$1300000,Pre-series A,,,,,,,,,
252,ASQI Advisors,2019.0,Mumbai,Financial Services,Bringing Blockchain technology intro mainstream finance!,Swapnil Pawar,Founders Room Capital,$1000000,Pre-series A,,,,,,,,,
253,Insurance Samadhan,2018.0,New Delhi,Insurance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",$725000,Pre-series A,,,,,,,,,
255,MasterChow,2020.0,Food & Beverages,Hauz Khas,A ready-to-cook Asian cuisine brand,"Vidur Kataria, Sidhanth Madan",WEH Ventures,$461000,Seed,,,,,,,,,
258,Pristyn Care,2018.0,Gurugram,Hospital & Health Care,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,"Harsimarbir (Harsh) Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal",$96000000,Series E,,,,,,,,,
259,Plix,2018.0,Mumbai,"Health, Wellness & Fitness",Plant-based nutraceutical firm,"Rishubh Satiya, Akash Zaveri","Guild Capital, RPSG Capital Ventures",$5000000,Series A,,,,,,,,,
260,Uni Cards,2020.0,Bangalore,Financial Services,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.","Nitin Gupta, Prateek Jindal, Laxmikant Vyas","General Catalyst, Eight Roads Ventures, Elevation Capital",$70000000,Series A,,,,,,,,,
262,Nestasia,2018.0,Kolkata,Retail,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua",$4000000,Series A,,,,,,,,,
263,Vedic Cosmeceuticals,2002.0,Noida,Cosmetics,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,Mohit Goel,Sixth Sense Ventures,$32000000,Series A,,,,,,,,,
264,Juspay,2012.0,Bangalore,FinTech,Enable frictionless payments for the billion Indians.,"Vimal Kumar, Ramanathan RV",SoftBank Vision Fund 2,$60000000,Series C,,,,,,,,,
265,TranZact,2017.0,Mumbai,Information Technology & Services,A mission to digitize millions of Indian SMEs so they can grow better.,"Ritesh Kumar, Sharad Sen Sharma, Rohan Sen Sharma","Tribe Capital, Prime Venture Partners",$7000000,Series A,,,,,,,,,
268,Mohalla Tech,2015.0,Bangalore,Social media,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.","Ankush Sachdeva, Bhanu Pratap Singh",Alkeon Capital,$266000000,Series G,,,,,,,,,
269,Stack,2020.0,Bangalore,Financial Services,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,"Smriti Tomar, Tushar Vyas","Y Combinator, Harvard Management",$4500000,Seed,,,,,,,,,
271,WeSkill,2020.0,Gurugram,E-learning,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,"Shaurya Joshi, Shashank Patidar, Praneet Agarwal","Shrishti Sahu, Umang Vohra",$4000000,Pre-seed,,,,,,,,,
275,Dista,2017.0,Pune,Computer Software,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,"Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,$1200000,Seed,,,,,,,,,
277,Bizongo,2015.0,Mumbai,B2B Ecommerce,izongo is India’s largest B2B platform for made-to-order products.,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,$100000000,Series D,,,,,,,,,
278,FRND,2019.0,Bangalore,Online Media,FRND is an audio dating app for Bharat,"Bhanu Pratap Singh Tanwar, Hardik Bansal, Harshvardhan Chhangani",KRAFTON,$6500000,Series A,,,,,,,,,
279,Metadome,2017.0,Bangalore,Computer Software,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund",$4000000,Pre-series A,,,,,,,,,
283,Yodacart,2019.0,Thane,E-commerce,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Vikas Sharma,Ajith Daneil,$225000,Pre-seed,,,,,,,,,
287,Jumbotail,2015.0,Bangalore,B2B Ecommerce,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores","S Karthik Venkateswaran, Ashish Jhina",Invus,$85000000,Series C,,,,,,,,,
288,Captain Fresh,2019.0,Bangalore,Logistics & Supply Chain,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Tiger Global, Prosus Ventures",$40000000,Series B,,,,,,,,,
290,Kohbee,2019.0,Bangalore,E-learning,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",$235000,Pre-seed,,,,,,,,,
291,Perfora,2021.0,Gurugram,Consumer Goods,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.","Tushar Khurana, Jatan Bawa",Sauce.vc,$260000,Pre-seed,,,,,,,,,
292,Unbox Robotics,2019.0,Pune,Logistics & Supply Chain,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"Pramod Ghadge, Shahid Memon, Rohit Pitale","3one4 Capital, Sixth Sense Ventures",$7000000,Series A,,,,,,,,,
293,Ninety One,2015.0,Ahmedabad,Consumer Goods,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.","Sachin Chopra, Vishal Chopra",A91 Partners,$30000000,Series A,,,,,,,,,
294,Gobillion,2020.0,New Delhi,Social commerce,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,"Roshan Farhan, Kulapradip Bharali","YCombinator, Justin Mateen, Pioneer Fund",$2900000,Seed,,,,,,,,,
295,RIPPLR,2019.0,Bangalore,Logistics & Supply Chain,India’s first Plug-n-Play distribution ecosystem for brands,"Abhishek Nehru, Santosh Dabke","Sojitz Corporation, Stride Ventures",$12000000,Pre-series B,,,,,,,,,
296,SK Finance,1994.0,Jaipur,Financial Services,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,Rajendra Setia,"IIFL Wealth, TPG Growth, Norwest Venture Partners",$53000000,Series F,,,,,,,,,
297,Eggoz,2017.0,Gurugram,Food & Beverages,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey","Nabventures, Avaana Capital",$3500000,Series A,,,,,,,,,
298,Fabriclore,2016.0,Jaipur,Apparel & Fashion,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Vijay Sharma, Anupam Arya, Sandeep Sharma","Fluid Ventures, Mulberry Silks",$700000,Pre-series A,,,,,,,,,
300,Verandah,2011.0,Mumbai,Apparel & Fashion,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,Anjali Patel Mehta,"Mike Novogratz, Neeraj Arora",$1000000,Seed,,,,,,,,,
303,EsportsXO,2020.0,Bangalore,Mobile Games,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,"Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,$1100000,Seed,,,,,,,,,
306,Neobank Jupiter,2019.0,Mumbai,Banking,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,Jitendra Gupta,"Tiger Global, Sequoia Capital",$86000000,Series C,,,,,,,,,
308,Glii,2020.0,Noida,Dating,India’s finest dating companionship application,Shivam Kaushik,We Founder Circle,"$$100,00",Seed,,,,,,,,,
309,GlobalBees,2021.0,New Delhi,E-commerce,Globalbees partners with entrepreneurs who have built an online-first business.,"Nitin Agarwal, Supam Maheshwari","Premji Invest, Steadview Capital",$111000000,Series B,,,,,,,,,
311,SecureNow,2011.0,Gurugram,Insurance,SecureNow is an award winning tech-enabled insurance intermediary.,"Kapil Mehta, Abhishek Bondia",Apis Insurtech Fund I,$6000000,Series B,,,,,,,,,
315,Doubtnut,2016.0,Gurugram,EdTech,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings","$30,000,000",Series B,,,,,,,,,
317,Infra.Market,2016.0,Thane,Construction,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Aaditya Sharda, Souvik Sengupta","InnoVen Capital, Nexus Venture Partners","$100,000,000",Series C,,,,,,,,,
319,Battery Smart,2019.0,New Delhi,Battery,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,"Pulkit Khurana, Siddharth Sikka",Orios Venture Partners,Undisclosed,Seed,,,,,,,,,
320,Kutuki,2017.0,Bangalore,EdTech,Kutuki is a learning platform focused on children between the ages of three and seven.,"Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,"$2,000,000",Seed,,,,,,,,,
322,Eupheus,2017.0,New Delhi,EdTech,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri","Yuj Ventures, Sixth Sense Ventures","$4,000,000",Series B,,,,,,,,,
323,KreditBee,2018.0,Bangalore,FinTech,KreditBee is an Instant Personal Loan Platform for Young Professionals.,Madhusudan Ekambaram,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital","$75,000,000",Series C,,,,,,,,,
324,Pencil,2019.0,Mumbai,Content publishing,Pencil is a content publishing platform that enables writers to publish their work for free.,"Malini Nair, Preeti Chib, Swarup Nanda","Inflection Point Ventures, SucSEED Venture Partners","$1,000,000",Pre-series A,,,,,,,,,
325,Aisle,2014.0,Bangalore,Dating,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships.,Able Joseph,"Anas Rahman Junaid, Vinod Jose",Undisclosed,Pre-series A,,,,,,,,,
327,UptimeAI,2016.0,Bangalore,AI startup,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures","Jagadish Gattu, Vamsi Yalamanchili",YourNest Venture Capital,"$1,500,000",Seed,,,,,,,,,
328,WizKlub,2018.0,Bangalore,EdTech,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Amit Bansal,Incubate Fund India,"$800,000",Pre-series A,,,,,,,,,
329,Zolve,2020.0,Bangalore,FinTech,Zolve Innovations operates as a neo-banking startup.,Raghunandan G,"Kunal Shah, Greg Kidd","$15,000,000",Seed,,,,,,,,,
330,MediBuddy,2000.0,Bangalore,EdTech,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",Satish Kannan,"InnoVen Capital, TEAMFund","$3,000,000",Debt,,,,,,,,,
331,Pariksha,2015.0,Pune,EdTech,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund","$2,000,000",Pre-series A,,,,,,,,,
332,Express Stores,2019.0,Gurugram,E-commerce,Express Stores is a retail and omnichannel startup company,"Apoorv Jain, Kartik Gupta","Venture Highway, Rohit Bansal","$1,000,000",Seed,,,,,,,,,
334,Zingbus,2019.0,Haryana,Transportation,Zingbus is an emerging brand in the intercity bus services.,Mratunjay Beniwal,"Venture Catalysts, 9Unicorns Accelerator Fund",Undisclosed,Pre-series A,,,,,,,,,
335,Phable,2017.0,Bangalore,HealthTech,Mobile App for Patients and Doctors,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Fresco Capital, Social Starts","$12,000,000",Series A,,,,,,,,,
337,Supply6,2018.0,Bangalore,Helathcare,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,"Rahul Jacob, Vaibhav Bhandari","Rohit Goutamchand, India CXO Fund","$100,000",Seed,,,,,,,,,
